PID,condition,agent_type,agent_name,local_time,human_areas_initial,agent_areas_initial,human_areas_final,agent_areas_final,changes,final_score,final_completeness,water_time,game_time,human_vics_in_order,vics_human,vics_human_plan,vics_human_not_plan,vics_agent,compliance
PA36,mission_comm,will,Bolt,1751271809,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,178.50623989105225,8,8,8,0,8,1.0
PA37,mission_nocomm,nowill,Bolt,1751274767,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,47.324931383132935,150.60881185531616,8,8,8,0,8,1.0
PA37,mission_nocomm,will,Argo,1751274501,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,77,1.0,0.9491519927978516,175.30808115005493,7,8,8,0,8,1.0
PA38,mission_nocomm,nowill,Argo,1751353883,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,49.57095122337341,146.90169382095337,8,8,8,0,8,1.0
PA38,mission_nocomm,will,Bolt,1751354257,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,204.350909948349,8,8,8,0,8,1.0
PA39,mission_comm,nowill,Bolt,1751357820,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,77,1.0,0.0,207.88437819480896,7,8,8,0,8,1.0
PA39,mission_comm,will,Argo,1751357427,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,168.10472702980042,8,8,8,0,8,1.0
PA4,mission_nocomm,nowill,Bolt,1749546740,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,45.853142976760864,123.0973858833313,8,8,8,0,8,1.0
PA4,mission_nocomm,will,Argo,1749546423,"['A1', 'B1', 'C1', 'D1']","['A2', 'B2', 'C2', 'D2']","['A1', 'B1', 'C1', 'D1']","['A2', 'B2', 'C2', 'D2']",-1,80,1.0,36.48913526535034,145.56751894950867,8,8,8,0,8,1.0
PA40,mission_comm,nowill,Bolt,1751367959,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,0.0,226.08757090568545,8,8,8,0,8,1.0
PA40,mission_comm,will,Argo,1751368319,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,171.72024703025818,8,8,8,0,8,1.0
PA41,mission_comm,nowill,Argo,1751372463,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,0.0,262.18252396583557,8,8,8,0,8,1.0
PA41,mission_comm,will,Bolt,1751371992,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,0.0,220.00293898582456,8,8,8,0,8,1.0
PA42,mission_comm,nowill,Bolt,1751375334,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,10.469597339630129,257.5641338825226,8,8,8,0,8,1.0
PA42,mission_comm,will,Argo,1751375699,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']",4,77,1.0,64.07396650314331,206.32366490364075,9,10,8,2,6,0.8
PA43,mission_comm,nowill,Bolt,1751383307,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,77,1.0,44.526822090148926,178.07329106330872,7,8,8,0,8,1.0
PA43,mission_comm,will,Argo,1751382972,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,156.4418489933014,8,8,8,0,8,1.0
PA44,mission_nocomm,nowill,Argo,1751441633,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,66.03122425079346,132.54647707939148,8,8,8,0,8,1.0
PA44,mission_nocomm,will,Bolt,1751441149,"['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']",-1,80,1.0,92.65170288085938,232.85062098503113,8,8,8,0,8,1.0
PA45,mission_nocomm,nowill,Argo,1751454557,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,50.63123822212219,198.98773789405823,8,8,8,0,8,1.0
PA45,mission_nocomm,will,Bolt,1751454989,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,55.45604348182678,158.47849011421204,8,8,8,0,8,1.0
PA46,mission_nocomm,nowill,Bolt,1751458744,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,59.20617437362671,159.88115692138672,8,8,8,0,8,1.0
PA46,mission_nocomm,will,Argo,1751458290,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,259.43154096603394,8,8,8,0,8,1.0
PA47,mission_comm,nowill,Argo,1751462173,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'B1', 'C1', 'D1']","['A2', 'B2', 'C2', 'D2']",2,80,1.0,58.6500346660614,244.7761368751526,8,8,8,0,8,1.0
PA47,mission_comm,will,Bolt,1751462558,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,208.4119777679443,8,8,8,0,8,1.0
PA48,mission_nocomm,nowill,Bolt,1751530325,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,52.692071199417114,193.7694718837738,8,8,8,0,8,1.0
PA48,mission_nocomm,will,Argo,1751530642,"['A1', 'B1', 'C1', 'D1']","['A2', 'B2', 'C2', 'D2']","['A1', 'B1', 'C1', 'D1']","['A2', 'B2', 'C2', 'D2']",-1,80,1.0,42.11824035644531,162.7180700302124,8,8,8,0,8,1.0
PA49,mission_comm,nowill,Bolt,1751534442,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,10.040030241012571,172.71823000907898,9,9,8,1,7,0.8888888888888888
PA49,mission_comm,will,Argo,1751533926,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,77,1.0,17.33398413658142,249.50817489624023,8,9,8,1,7,0.8888888888888888
PA5,mission_nocomm,nowill,Argo,1749564324,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,56.19553303718567,286.09312891960144,8,8,8,0,8,1.0
PA5,mission_nocomm,will,Bolt,1749565420,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,77,1.0,0.0,174.28865098953247,7,8,8,0,8,1.0
PA50,mission_nocomm,nowill,Argo,1751537584,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,68.68515992164612,176.17754316329956,8,8,8,0,8,1.0
PA50,mission_nocomm,will,Bolt,1751537898,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,146.7709150314331,8,8,8,0,8,1.0
