PID,condition,agent_type,agent_name,local_time,human_areas_initial,agent_areas_initial,human_areas_final,agent_areas_final,changes,final_score,final_completeness,water_time,game_time,human_vics_in_order,vics_human,vics_human_plan,vics_human_not_plan,vics_agent,compliance
PA67,mission_comm,will,Argo,1752138763,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,71,1.0,13.830243110656738,178.06341290473938,6,9,8,1,7,0.8888888888888888
PA68,mission_comm,nowill,Argo,1752142785,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']",2,80,1.0,98.9046070575714,207.09486198425293,8,8,8,0,8,1.0
PA68,mission_comm,will,Bolt,1752142459,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,56,1.0,0.0,157.02941608428955,0,8,8,0,8,1.0
PA69,mission_nocomm,nowill,Bolt,1752145716,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,48.23874068260193,182.68656301498413,8,8,8,0,8,1.0
PA69,mission_nocomm,will,Argo,1752146129,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,194.5442292690277,8,8,8,0,8,1.0
PA7,mission_comm,nowill,Argo,1749640297,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,0.0,184.13329887390137,8,8,8,0,8,1.0
PA7,mission_comm,will,Bolt,1749640731,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,184.3563630580902,8,8,8,0,8,1.0
PA70,mission_comm,nowill,Bolt,1752153176,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,77,1.0,0.0,222.436509847641,7,8,8,0,8,1.0
PA70,mission_comm,will,Argo,1752153531,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",2,80,1.0,49.70868897438049,130.15047597885132,8,8,8,0,8,1.0
PA71,mission_comm,nowill,Argo,1752156969,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,80,1.0,48.42447590827942,183.3162407875061,8,8,8,0,8,1.0
PA71,mission_comm,will,Bolt,1752157321,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,231.81138277053833,8,8,8,0,8,1.0
